SERIALNO,PWGTP,age,gender,marriage_status,income
1990,148,67,Male,Never married or under 15 years old,27000.0
2253,371,93,Female,Widowed,0.0
2861,288,46,Female,Divorced,44000.0
4537,58,59,Male,Divorced,35000.0
4797,130,70,Male,Married,0.0
4797,171,70,Female,Married,0.0
4982,141,39,Female,Married,63000.0
4982,139,36,Male,Married,82000.0
4982,139,10,Male,Never married or under 15 years old,
4982,125,8,Female,Never married or under 15 years old,
5194,40,80,Female,Married,0.0
5194,37,79,Male,Married,90000.0
5681,37,19,Female,Never married or under 15 years old,17000.0
5681,19,19,Male,Never married or under 15 years old,20000.0
5881,144,74,Female,Widowed,4100.0
6671,290,43,Male,Divorced,25000.0
6752,30,86,Male,Married,0.0
6752,27,83,Female,Married,0.0
6847,133,61,Male,Never married or under 15 years old,30000.0
7045,119,62,Female,Married,48000.0
7045,102,66,Male,Married,95000.0
7045,176,35,Female,Never married or under 15 years old,55000.0
7222,28,61,Female,Married,0.0
7382,79,33,Female,Never married or under 15 years old,70000.0
7752,57,66,Female,Married,8000.0
7752,58,63,Male,Married,75000.0
7968,13,64,Male,Divorced,56000.0
7968,9,34,Male,Married,37700.0
7968,6,11,Female,Never married or under 15 years old,
7968,7,10,Male,Never married or under 15 years old,
7968,15,33,Female,Married,9900.0
8820,47,28,Male,Separated,0.0
8875,79,61,Male,Married,0.0
8875,96,58,Female,Married,48000.0
8875,107,14,Male,Never married or under 15 years old,
8887,21,32,Male,Never married or under 15 years old,0.0
9700,70,50,Male,Married,425000.0
9700,47,50,Female,Married,0.0
9972,104,67,Male,Widowed,11400.0
9972,271,32,Female,Never married or under 15 years old,18700.0
9972,178,13,Male,Never married or under 15 years old,
9972,179,12,Male,Never married or under 15 years old,
9972,178,7,Male,Never married or under 15 years old,
10448,51,69,Female,Married,0.0
10448,54,77,Male,Married,0.0
10667,57,38,Female,Married,42800.0
10667,73,36,Male,Married,40500.0
10667,68,5,Female,Never married or under 15 years old,
10884,66,50,Female,Divorced,0.0
10884,96,24,Male,Never married or under 15 years old,0.0
11835,80,73,Male,Widowed,0.0
13084,62,51,Female,Married,59000.0
13084,66,53,Male,Married,36500.0
13084,65,16,Female,Never married or under 15 years old,0.0
14172,114,66,Female,Married,0.0
14172,113,63,Male,Married,42000.0
14560,20,56,Female,Widowed,23000.0
14993,86,44,Female,Divorced,0.0
14993,96,15,Female,Never married or under 15 years old,0.0
15319,149,66,Male,Married,0.0
15319,212,65,Female,Married,0.0
16019,81,57,Female,Married,19900.0
16019,92,60,Male,Married,60000.0
16130,84,48,Female,Married,36000.0
16130,146,52,Male,Married,52000.0
17316,61,93,Female,Widowed,0.0
17683,79,54,Male,Married,116000.0
17683,32,54,Female,Married,20700.0
17955,53,62,Female,Widowed,70000.0
18572,37,80,Female,Widowed,0.0
